event_id,event_key,asset_id,asset_key,action,direction
evt_mem_evt_20250714_re_sign_cam_2025_07_14_re_signi_d7e85d402a,evt_20250714_re_sign_cam,ast_mem_player_cam_spencer_4fabe1c483,player_cam_spencer,modify,outgoing
evt_mem_evt_20250714_sign_ty_jerome_2025_07_14_contr_e6ea48ce03,evt_20250714_sign_ty_jerome,ast_mem_player_ty_jerome_3b3fe31166,player_ty_jerome,acquire,outgoing
evt_mem_evt_20250715_re_sign_santi_2025_07_15_re_sig_32c15973af,evt_20250715_re_sign_santi,ast_mem_player_santi_aldama_b3a21c91fd,player_santi_aldama,modify,outgoing
evt_mem_evt_20250715_sign_jock_2025_07_15_contract_s_d094d41916,evt_20250715_sign_jock,ast_mem_player_jock_landale_ba95761c58,player_jock_landale,acquire,outgoing
evt_mem_evt_20250720_end_zyon_2025_07_20_conversion_6130be02e1,evt_20250720_end_zyon,ast_mem_player_zyon_pullin_6a3c571ae9,player_zyon_pullin,terminate,incoming
evt_mem_evt_20250720_sign_pj_hall_two_way_2025_07_20_5637eda093,evt_20250720_sign_pj_hall_two_way,ast_mem_player_pj_hall_8b7ea04222,player_pj_hall,acquire,outgoing
evt_mem_evt_20250904_sign_olivier_two_way_2025_09_04_fa83146984,evt_20250904_sign_olivier_two_way,ast_mem_player_olivier_maxence_prosper_ca5a5d59d4,player_olivier_maxence_prosper,acquire,outgoing
evt_mem_evt_20250906_sign_lawson_lovering_2025_09_06_585a1f9949,evt_20250906_sign_lawson_lovering,ast_mem_player_lawson_lovering_e8456395dd,player_lawson_lovering,acquire,outgoing
evt_mem_evt_20250923_sign_braxton_key_2025_09_23_con_4f4944cc65,evt_20250923_sign_braxton_key,ast_mem_player_braxton_key_64945fb61e,player_braxton_key,acquire,outgoing
evt_mem_evt_20251018_waive_braxton_key_2025_10_18_wa_3f443d0bbe,evt_20251018_waive_braxton_key,ast_mem_player_braxton_key_64945fb61e,player_braxton_key,terminate,incoming
evt_mem_evt_20251018_waive_lawson_lovering_2025_10_1_c9e4959252,evt_20251018_waive_lawson_lovering,ast_mem_player_lawson_lovering_e8456395dd,player_lawson_lovering,terminate,incoming
evt_mem_evt_20251027_sign_bassey_2025_10_27_contract_226f74bedc,evt_20251027_sign_bassey,ast_mem_player_charles_bassey_17b4496b3d,player_charles_bassey,acquire,outgoing
evt_mem_evt_20251116_end_pj_hall_2025_11_16_conversi_06d3d87692,evt_20251116_end_pj_hall,ast_mem_player_pj_hall_8b7ea04222,player_pj_hall,terminate,incoming
evt_mem_evt_20251116_sign_jahmai_two_way_2025_11_16__5ce8f79304,evt_20251116_sign_jahmai_two_way,ast_mem_player_jahmai_mashack_5e02abbc05,player_jahmai_mashack,acquire,outgoing
