event_key,action,asset_key,asset_type,subtype,player_name,contract_expiry_year,average_annual_salary,acquisition_method,original_team,pick_year,pick_number,protections_raw,protections_structured,swap_conditions_raw,swap_conditions_structured,prior_transactions
evt_20250706_trade_will_for_jessup,acquire,player_jahmai_mashack,full_roster,player_contract,Jahmai Mashack,,,trade,,,,,,,,
evt_20250706_trade_will_for_jessup,acquire,player_justinian_jessup,full_roster,player_contract,Justinian Jessup,,,trade,,,,,,,,
evt_20250706_trade_will_for_jessup,relinquish,player_will_richard,full_roster,draft_rights,Will Richard,,,,,,,,,,,
evt_20250707_sign_cedric,modify,player_cedric_coward,full_roster,player_contract,Cedric Coward,,,rookie_scale_signing,,,,,,,,
evt_20250710_sign_javon_two_way,modify,player_javon_small,two_way,two_way_contract,Javon Small,,,two_way_signing,,,,,,,,
evt_20250712_waive_cole,terminate,player_cole_anthony,full_roster,player_contract,Cole Anthony,,,waiver,,,,,,,,
evt_20250713_ext_jaren,modify,player_jaren_jackson_jr,full_roster,player_contract,Jaren Jackson Jr.,2030,52.5,extension,,,,,,,,
evt_20250714_re_sign_cam,modify,player_cam_spencer,two_way,two_way_contract,Cam Spencer,,,re_signing,,,,,,,,
evt_20250714_sign_ty_jerome,acquire,player_ty_jerome,full_roster,player_contract,Ty Jerome,,,contract_signing,,,,,,,,
evt_20250715_re_sign_santi,modify,player_santi_aldama,full_roster,player_contract,Santi Aldama,,17.5,re_signing,,,,,,,,
evt_20250715_sign_jock,acquire,player_jock_landale,full_roster,player_contract,Jock Landale,,,contract_signing,,,,,,,,
evt_20250720_end_zyon,terminate,player_zyon_pullin,two_way,two_way_contract,Zyon Pullin,,,end_two_way,,,,,,,,
evt_20250720_sign_pj_hall_two_way,acquire,player_pj_hall,two_way,two_way_contract,PJ Hall,,,two_way_signing,,,,,,,,
evt_20250904_sign_olivier_two_way,acquire,player_olivier_maxence_prosper,two_way,two_way_contract,Olivier-Maxence Prosper,,,two_way_signing,,,,,,,,
evt_20250906_sign_lawson_lovering,acquire,player_lawson_lovering,full_roster,player_contract,Lawson Lovering,,,contract_signing,,,,,,,,
evt_20250923_sign_braxton_key,acquire,player_braxton_key,full_roster,player_contract,Braxton Key,,,contract_signing,,,,,,,,
evt_20251018_waive_braxton_key,terminate,player_braxton_key,full_roster,player_contract,Braxton Key,,,waiver,,,,,,,,
evt_20251018_waive_lawson_lovering,terminate,player_lawson_lovering,full_roster,player_contract,Lawson Lovering,,,waiver,,,,,,,,
evt_20251027_sign_bassey,acquire,player_charles_bassey,full_roster,player_contract,Charles Bassey,,,contract_signing,,,,,,,,
evt_20251116_end_pj_hall,terminate,player_pj_hall,two_way,two_way_contract,PJ Hall,,,end_two_way,,,,,,,,
evt_20251116_sign_jahmai_two_way,acquire,player_jahmai_mashack,two_way,two_way_contract,Jahmai Mashack,,,two_way_signing,,,,,,,,
evt_20251124_sign_bufkin,acquire,player_kobe_bufkin,full_roster,player_contract,Kobe Bufkin,,,contract_signing,,,,,,,,
evt_20251222_sign_koloko,acquire,player_christian_koloko,full_roster,player_contract,Christian Koloko,,,10_day_signing,,,,,,,,
evt_20260102_sign_koloko_again,modify,player_christian_koloko,full_roster,player_contract,Christian Koloko,,,10_day_signing,,,,,,,,
evt_20260203_trade_jjj,acquire,pick_2027_1_lal_conditional_in,future_draft_pick,first_round,,,,trade,LAL,2027,,Conditional LAL 2027 first-round pick,,,,
evt_20260203_trade_jjj,acquire,pick_2027_1_more_favorable_phx_phi,future_draft_pick,first_round,,,,trade,PHX/PHI,2027,,More favorable of PHX and PHI 2027 first,,,,
evt_20260203_trade_jjj,acquire,pick_2031_1_phx_in,future_draft_pick,first_round,,,,trade,PHX,2031,,,,,,
evt_20260203_trade_jjj,acquire,player_georges_niang,full_roster,player_contract,Georges Niang,,,trade,,,,,,,,
evt_20260203_trade_jjj,acquire,player_kyle_anderson,full_roster,player_contract,Kyle Anderson,,,trade,,,,,,,,
evt_20260203_trade_jjj,acquire,player_taylor_hendricks,full_roster,player_contract,Taylor Hendricks,,,trade,,,,,,,,
evt_20260203_trade_jjj,acquire,player_walter_clayton_jr,full_roster,player_contract,Walter Clayton Jr.,,,trade,,,,,,,,
