edge_id,asset_id,asset_key,asset_type,subtype,source_node_id,target_node_id,start_date,end_date,is_active_at_end,player_name,action_raw,direction_raw
asset_633d55370120e67493b07c5d_0,asset_633d55370120e67493b07c5d,player:christian_vital_(pg),player,,state_start,evt_268dc963e697a57f928d9501,2016-07-01,2020-12-16,false,Christian Vital (PG),acquire,incoming
asset_633d55370120e67493b07c5d_1,asset_633d55370120e67493b07c5d,player:christian_vital_(pg),player,,evt_268dc963e697a57f928d9501,evt_a55bc7952bf9bd468b6ed6b9,2020-12-16,2020-12-16,false,Christian Vital (PG),relinquish,outgoing
asset_633d55370120e67493b07c5d_end,asset_633d55370120e67493b07c5d,player:christian_vital_(pg),player,,evt_a55bc7952bf9bd468b6ed6b9,state_end,2020-12-16,2026-03-08,true,Christian Vital (PG),relinquish,outgoing
asset_6ffcb5789b447e229a4fbfde_0,asset_6ffcb5789b447e229a4fbfde,player:tim_frazier_(pg),player,,state_start,evt_2718f088ad8935a8310844fa,2016-07-01,2021-01-04,false,Tim Frazier (PG),acquire,incoming
asset_6ffcb5789b447e229a4fbfde_1,asset_6ffcb5789b447e229a4fbfde,player:tim_frazier_(pg),player,,evt_2718f088ad8935a8310844fa,evt_700ac8dc83308aa3abe2d914,2021-01-04,2021-04-14,false,Tim Frazier (PG),acquire,incoming
asset_6ffcb5789b447e229a4fbfde_2,asset_6ffcb5789b447e229a4fbfde,player:tim_frazier_(pg),player,,evt_700ac8dc83308aa3abe2d914,evt_86152eeb38ae3db682b14379,2021-04-14,2021-04-25,false,Tim Frazier (PG),acquire,incoming
asset_6ffcb5789b447e229a4fbfde_end,asset_6ffcb5789b447e229a4fbfde,player:tim_frazier_(pg),player,,evt_86152eeb38ae3db682b14379,state_end,2021-04-25,2026-03-08,true,Tim Frazier (PG),acquire,incoming
asset_5ae7b61d3b9e8c69612a34ae_0,asset_5ae7b61d3b9e8c69612a34ae,player:zach_kleiman_(gm),player,,state_start,evt_5590198d774e909b900b8e65,2016-07-01,2021-06-04,false,Zach Kleiman (GM),modify,incoming
asset_5ae7b61d3b9e8c69612a34ae_end,asset_5ae7b61d3b9e8c69612a34ae,player:zach_kleiman_(gm),player,,evt_5590198d774e909b900b8e65,state_end,2021-06-04,2026-03-08,true,Zach Kleiman (GM),modify,incoming
asset_b98bd17ef0358438b30bfcff_0,asset_b98bd17ef0358438b30bfcff,player:trey_murphy_iii,player,,state_start,evt_b7fd30be8daac98d9d2926d0,2016-07-01,2021-06-30,false,Trey Murphy III,transform,incoming
asset_b98bd17ef0358438b30bfcff_end,asset_b98bd17ef0358438b30bfcff,player:trey_murphy_iii,player,,evt_b7fd30be8daac98d9d2926d0,state_end,2021-06-30,2026-03-08,true,Trey Murphy III,transform,incoming
asset_4aca82e36ac215c4432668f2_0,asset_4aca82e36ac215c4432668f2,player:brandon_boston,player,,state_start,evt_7e8f574b2f4d21726fb64688,2016-07-01,2021-06-30,false,Brandon Boston,transform,incoming
asset_4aca82e36ac215c4432668f2_end,asset_4aca82e36ac215c4432668f2,player:brandon_boston,player,,evt_7e8f574b2f4d21726fb64688,state_end,2021-06-30,2026-03-08,true,Brandon Boston,transform,incoming
asset_63244b47fb162740a086f544_0,asset_63244b47fb162740a086f544,player:steven_adams_(c),player,,state_start,evt_b278c5b54f9d5e2b02c16819,2016-07-01,2021-07-26,false,Steven Adams (C),transform,outgoing
asset_63244b47fb162740a086f544_1,asset_63244b47fb162740a086f544,player:steven_adams_(c),player,,evt_b278c5b54f9d5e2b02c16819,evt_8ef2f59cf280e1ab907a0d4f,2021-07-26,2022-10-01,false,Steven Adams (C),modify,incoming
asset_63244b47fb162740a086f544_end,asset_63244b47fb162740a086f544,player:steven_adams_(c),player,,evt_8ef2f59cf280e1ab907a0d4f,state_end,2022-10-01,2026-03-08,true,Steven Adams (C),modify,incoming
asset_39d6fec18078746575c42751_0,asset_39d6fec18078746575c42751,player:eric_bledsoe_(pg),player,,state_start,evt_d5f89b83fdf176fdfd9388da,2016-07-01,2021-07-26,false,Eric Bledsoe (PG),transform,outgoing
asset_39d6fec18078746575c42751_end,asset_39d6fec18078746575c42751,player:eric_bledsoe_(pg),player,,evt_d5f89b83fdf176fdfd9388da,state_end,2021-07-26,2026-03-08,true,Eric Bledsoe (PG),transform,outgoing
asset_9f92db19f4b845cdc0d4ce92_0,asset_9f92db19f4b845cdc0d4ce92,player:trey_murphy_iii_(sf),player,,state_start,evt_c1bf43f973379892699be80d,2016-07-01,2021-07-29,false,Trey Murphy III (SF),acquire,incoming
asset_9f92db19f4b845cdc0d4ce92_end,asset_9f92db19f4b845cdc0d4ce92,player:trey_murphy_iii_(sf),player,,evt_c1bf43f973379892699be80d,state_end,2021-07-29,2026-03-08,true,Trey Murphy III (SF),acquire,incoming
asset_9aa788f112689ffc4c69b0e1_0,asset_9aa788f112689ffc4c69b0e1,player:brandon_boston_jr_(sg),player,,state_start,evt_af84d0498ffa9252caa5d975,2016-07-01,2021-07-29,false,Brandon Boston Jr (SG),acquire,incoming
